case,level,agl_median_m,agl_min_m,agl_max_m,speed_mean,speed_p95,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
v1_auto1_n60_top12_s26,41,4954.2412109375,3880.9814453125,5896.34619140625,5.374124526977539,9.92521858215332,10.601391792297363,0.30312851071357727,6.4126410484313965,0.3722984194755554,7.359897613525391
v1_auto1_n60_top12_s26,42,5193.9969482421875,4113.72802734375,6139.84521484375,5.098926067352295,9.277606964111328,10.456026077270508,0.33251041173934937,6.216840744018555,0.39676764607429504,6.915471076965332
v1_auto1_n60_top12_s26,43,5440.615478515625,4354.08642578125,6389.60205078125,4.8389573097229,8.730722427368164,10.077567100524902,0.35040631890296936,5.731802463531494,0.4020251929759979,6.161609172821045
v1_auto1_n60_top12_s26,44,5693.948486328125,4602.00390625,6645.783203125,4.6366047859191895,8.679473876953125,9.415705680847168,0.3515787720680237,5.014057636260986,0.4021753668785095,5.2084856033325195
v1_auto1_n60_top12_s26,45,5955.30615234375,4857.43115234375,6908.52978515625,4.472228527069092,8.463876724243164,9.402688980102539,0.3604640066623688,4.1864542961120605,0.4181998670101166,4.229933738708496
v1_auto1_n60_top12_s26,46,6222.478515625,5120.32275390625,7177.9580078125,4.424816608428955,7.8038249015808105,9.76284122467041,0.38030412793159485,3.3928725719451904,0.43871092796325684,3.378232717514038
v1_auto1_n60_top12_s26,47,6497.167236328125,5390.63623046875,7454.16455078125,4.466244697570801,7.469806671142578,10.077138900756836,0.39508384466171265,2.700997829437256,0.4566652476787567,2.6500468254089355
v1_auto1_n60_top12_s26,48,6778.5438232421875,5668.32373046875,7737.21630859375,4.464994430541992,7.673004627227783,9.86362361907959,0.42055583000183105,2.0841305255889893,0.4860105812549591,2.2604925632476807
v1_auto1_n60_top12_s26,49,7067.0452880859375,5953.33740234375,8027.16259765625,4.514752388000488,7.522580146789551,9.372355461120605,0.4392077326774597,2.019796133041382,0.5007982850074768,2.261312484741211
v1_auto1_n60_top12_s26,50,7363.191650390625,6245.62158203125,8324.02490234375,4.429421424865723,7.482663154602051,9.903545379638672,0.46593090891838074,1.9888198375701904,0.5254492163658142,2.0759658813476562
v1_auto1_n60_top12_s26,51,7666.0740966796875,6545.10986328125,8627.80322265625,4.664374351501465,8.36280345916748,10.387260437011719,0.46604838967323303,1.6093318462371826,0.4949711561203003,1.4420050382614136
v1_auto1_n60_top12_s26,52,7976.06494140625,6851.72998046875,8938.47900390625,5.529305934906006,8.873493194580078,11.099678039550781,0.4168086051940918,1.0410975217819214,0.42513221502304077,0.8250241875648499
v1_auto1_n60_top12_s26,53,8293.16650390625,7165.38720703125,9256.00341796875,6.460397720336914,9.608063697814941,11.30456829071045,0.3648407757282257,0.6226772665977478,0.38527557253837585,0.7196028232574463
v1_auto1_n60_top12_s26,54,8617.053588867188,7485.97412109375,9580.30908203125,6.9945292472839355,9.717968940734863,12.198394775390625,0.3428875207901001,0.6403192281723022,0.378686785697937,0.6556754112243652
v1_auto1_n60_top12_s26,55,8947.619995117188,7813.36376953125,9911.30517578125,7.353355407714844,10.117997169494629,12.878863334655762,0.3237839937210083,0.5669972896575928,0.32746005058288574,0.5564427971839905
v1_auto1_n60_top12_s26,56,9284.536987304688,8147.39990234375,10248.87060546875,8.005670547485352,10.547760009765625,13.247599601745605,0.2628953158855438,0.47876104712486267,0.2556549906730652,0.46565914154052734
v1_auto1_n60_top12_s26,57,9627.58056640625,8487.90380859375,10592.86083984375,8.88812255859375,11.726297378540039,14.434236526489258,0.19257424771785736,0.3927830159664154,0.18409030139446259,0.40515249967575073
v1_auto1_n60_top12_s26,58,9977.171142578125,8834.66259765625,10943.09619140625,9.456990242004395,13.071932792663574,14.817909240722656,0.13943074643611908,0.39329349994659424,0.13627378642559052,0.4343142807483673
v1_auto1_n60_top12_s26,59,10332.358032226562,9187.42236328125,11299.36572265625,9.674020767211914,13.462299346923828,15.465774536132812,0.0742831602692604,0.4101789593696594,0.05236712843179703,0.41612422466278076
v2_auto1_n80_top12_s26,0,7.29052734375,6.7490234375,7.80078125,1.6068472862243652,3.2110824584960938,7.189145565032959,1.2026749849319458,2.7525668144226074,0.07036203145980835,0.2310439497232437
v2_auto1_n80_top12_s26,1,23.70068359375,20.991455078125,26.253662109375,1.7220356464385986,3.646528959274292,8.293508529663086,1.2857104539871216,3.0873019695281982,0.14526990056037903,0.5340490937232971
v2_auto1_n80_top12_s26,2,44.0240478515625,37.69287109375,49.98956298828125,1.766925573348999,3.917126417160034,8.758776664733887,1.3069322109222412,3.1848626136779785,0.23530659079551697,0.8691127300262451
v2_auto1_n80_top12_s26,3,68.1639404296875,56.6220703125,79.03802490234375,1.762969970703125,4.05134916305542,9.019967079162598,1.2936577796936035,3.204261302947998,0.33779922127723694,1.2148350477218628
v2_auto1_n80_top12_s26,4,96.017822265625,77.537109375,113.425537109375,1.7602088451385498,4.147853374481201,9.301082611083984,1.253360390663147,3.146786689758301,0.4458194673061371,1.5542231798171997
