case,level,agl_median_m,agl_min_m,agl_max_m,w_abs_max,w_abs_p99,w_grid_abs_max,w_grid_abs_p99,speed_mean,speed_p95
var_no_sx_20km,23,8691.8642578125,8218.06201171875,9091.86083984375,0.738045871257782,0.39378589391708374,4.73848295211792,2.5499274730682373,7.026958465576172,9.944058418273926
var_no_sx_20km,24,9179.9130859375,8673.60400390625,9607.35400390625,0.6945886611938477,0.3466004431247711,5.908502101898193,2.6102843284606934,7.83133602142334,10.56106185913086
var_no_sx_20km,25,9680.162109375,9140.40283203125,10135.84130859375,0.715200662612915,0.3764590919017792,5.391864776611328,2.8075525760650635,8.932502746582031,12.268115997314453
var_no_sx_20km,26,10192.9404296875,9618.78271484375,10677.66064453125,0.7727034687995911,0.4293106198310852,5.5068254470825195,2.822274923324585,9.584136962890625,13.20719051361084
var_no_sx_20km,27,10718.58984375,10109.07568359375,11233.15771484375,0.8128140568733215,0.4023819863796234,5.696805000305176,2.5489137172698975,9.480783462524414,13.46367073059082
var_no_sx_20km,28,11257.4453125,10611.60400390625,11802.68310546875,0.7902693152427673,0.37119534611701965,4.400232315063477,2.383838653564453,9.424747467041016,13.3652925491333
var_no_sx_20km,29,11809.8525390625,11126.69677734375,12386.59326171875,0.5863600969314575,0.2833857536315918,3.4838716983795166,1.8918039798736572,8.506404876708984,12.585724830627441
var_no_sx_20km,30,12376.1572265625,11654.67236328125,12985.25439453125,0.6410235166549683,0.24266491830348969,2.5164754390716553,1.533530592918396,7.418941497802734,9.444018363952637
var_no_sx_20km,31,12956.703125,12195.84814453125,13599.03955078125,0.7605966925621033,0.20498773455619812,2.5972442626953125,1.4468144178390503,7.324831485748291,9.530035972595215
var_no_sx_20km,32,13551.837890625,12750.53076171875,14228.32373046875,0.7841600179672241,0.2083934098482132,2.372849702835083,1.3378925323486328,7.503517150878906,10.0712308883667
var_no_sx_20km,33,14161.900390625,13319.01318359375,14873.49072265625,0.874220609664917,0.18032637238502502,1.5754286050796509,0.9431596994400024,6.6245245933532715,8.765074729919434
var_no_sx_20km,34,14787.2294921875,13901.57275390625,15534.92626953125,0.9703912734985352,0.15616878867149353,1.399552345275879,0.5972743034362793,5.105055809020996,6.481013298034668
var_no_sx_20km,35,15428.15625,14498.46728515625,16213.02685546875,1.0733089447021484,0.1371857225894928,1.3261035680770874,0.44745633006095886,3.845653533935547,5.338105201721191
var_no_sx_20km,36,16085.00390625,15109.93408203125,16908.18701171875,1.1668111085891724,0.1380094438791275,1.366758108139038,0.2973245680332184,2.9283647537231445,4.5874924659729
var_no_sx_20km,37,16758.076171875,15736.16845703125,17620.80224609375,1.2605395317077637,0.14249585568904877,1.4495471715927124,0.17910249531269073,2.373478651046753,4.1273088455200195
var_no_sx_20km,38,17447.671875,16377.34033203125,18351.27880859375,1.365578293800354,0.15180686116218567,1.5905007123947144,0.17399807274341583,2.0847690105438232,4.010675430297852
var_no_sx_20km,39,18154.056640625,17033.55908203125,19100.01318359375,1.462492823600769,0.16265931725502014,1.498847246170044,0.1645522564649582,3.12099552154541,5.349860668182373
var_sx_20km,0,144.748291015625,142.76171875,146.42535400390625,2.047722578048706,1.0690680742263794,2.3247437477111816,0.7998011112213135,1.5481146574020386,3.1318418979644775
var_sx_20km,1,434.2344970703125,425.396240234375,441.69610595703125,2.4990732669830322,1.0299127101898193,3.135607957839966,1.2825796604156494,1.9221599102020264,4.34688138961792
var_sx_20km,2,728.4619140625,710.606201171875,743.5361328125,2.6766250133514404,0.9914138913154602,3.7009708881378174,1.52545166015625,2.4009721279144287,4.865747928619385
var_sx_20km,3,1028.30078125,999.784912109375,1052.3746337890625,3.287895441055298,0.826240062713623,4.353509902954102,1.825779914855957,2.873826265335083,5.418018817901611
var_sx_20km,4,1334.2421875,1293.6513671875,1368.51025390625,3.7237350940704346,0.6523926854133606,4.8204264640808105,2.2250936031341553,3.418156623840332,6.311847686767578
var_sx_20km,5,1646.655029296875,1592.70263671875,1692.202880859375,4.016446590423584,0.5653838515281677,5.0765886306762695,2.623199462890625,3.884312152862549,7.001339912414551
var_sx_20km,6,1965.853759765625,1897.33740234375,2023.697509765625,4.199113845825195,0.4793853461742401,5.200088024139404,2.9103944301605225,4.169509410858154,7.292835235595703
var_sx_20km,7,2292.123291015625,2207.89599609375,2363.23046875,4.3358659744262695,0.43186935782432556,5.2558064460754395,2.9793717861175537,4.283023357391357,7.318562030792236
var_sx_20km,8,2625.7333984375,2524.69140625,2711.036376953125,4.351283550262451,0.41083604097366333,5.330083847045898,2.7989790439605713,4.249970436096191,7.241524696350098
var_sx_20km,9,2966.9482421875,2848.017578125,3067.353515625,4.388715744018555,0.39047127962112427,5.618483066558838,2.44140625,4.066391944885254,6.894305229187012
var_sx_20km,10,3316.02685546875,3178.158203125,3432.419677734375,3.991665840148926,0.34026333689689636,5.456029415130615,2.3189189434051514,3.964796543121338,6.536433219909668
var_sx_20km,11,3673.22705078125,3515.390625,3806.47705078125,4.5218024253845215,0.3068109154701233,5.491868019104004,2.562864065170288,4.0438456535339355,7.15722131729126
var_sx_20km,12,4038.80859375,3859.990234375,4189.77197265625,5.378026962280273,0.30002835392951965,6.31514835357666,2.890591859817505,4.352724552154541,8.152961730957031
var_sx_20km,13,4413.0341796875,4212.2333984375,4582.556640625,6.026462554931641,0.31408005952835083,6.836367130279541,3.145634174346924,4.821075439453125,9.62491512298584
var_sx_20km,14,4796.171875,4572.3984375,4985.087890625,6.245467662811279,0.32205426692962646,6.712367057800293,3.2629334926605225,5.091081619262695,9.837509155273438
var_sx_20km,15,5188.4921875,4940.76611328125,5397.62939453125,5.802663326263428,0.3281989097595215,5.856827259063721,3.1151580810546875,5.057225227355957,9.540971755981445
var_sx_20km,16,5590.2685546875,5317.619140625,5820.44775390625,4.751532077789307,0.3371346890926361,4.89775276184082,2.855252742767334,4.779971599578857,8.827503204345703
var_sx_20km,17,6001.78369140625,5703.24560546875,6253.81787109375,3.5404744148254395,0.35050588846206665,4.551944732666016,2.613950729370117,4.550045967102051,8.46093463897705
var_sx_20km,18,6423.32373046875,6097.94091796875,6698.021484375,2.4596047401428223,0.3847810626029968,4.316523551940918,2.4370651245117188,4.456243991851807,7.841216564178467
var_sx_20km,19,6855.1826171875,6502.00341796875,7153.3466796875,1.92025625705719,0.412788063287735,4.120063781738281,2.3063981533050537,4.467467308044434,7.566338539123535
var_sx_20km,20,7297.658203125,6915.73486328125,7620.08837890625,1.9889792203903198,0.42311251163482666,3.884241819381714,2.1913840770721436,4.535614967346191,7.701498985290527
var_sx_20km,21,7751.0556640625,7339.44580078125,8098.54736328125,1.7825748920440674,0.40857023000717163,4.603889465332031,2.299907684326172,4.993088245391846,8.430184364318848
var_sx_20km,22,8215.68359375,7773.44775390625,8589.03271484375,0.7820726633071899,0.38869062066078186,4.918765068054199,2.468818426132202,6.062508583068848,9.206764221191406
var_sx_20km,23,8691.8642578125,8218.06201171875,9091.86083984375,0.7067573070526123,0.3816883862018585,4.665408611297607,2.518414258956909,7.022528648376465,9.924285888671875
var_sx_20km,24,9179.9130859375,8673.60400390625,9607.35400390625,0.7261865139007568,0.3357656002044678,5.655170917510986,2.5797572135925293,7.8274617195129395,10.541546821594238
var_sx_20km,25,9680.162109375,9140.40283203125,10135.84130859375,0.7702733278274536,0.3654804527759552,5.3107686042785645,2.7679591178894043,8.929727554321289,12.260554313659668
var_sx_20km,26,10192.9404296875,9618.78271484375,10677.66064453125,0.7471339106559753,0.41596508026123047,5.381771087646484,2.7839152812957764,9.58011531829834,13.197297096252441
var_sx_20km,27,10718.58984375,10109.07568359375,11233.15771484375,0.7229430079460144,0.3835369050502777,5.524150848388672,2.5204315185546875,9.478296279907227,13.449688911437988
var_sx_20km,28,11257.4453125,10611.60400390625,11802.68310546875,0.7861259579658508,0.3690301775932312,4.36863899230957,2.3473286628723145,9.421586990356445,13.352692604064941
var_sx_20km,29,11809.8525390625,11126.69677734375,12386.59326171875,0.5579634308815002,0.28516674041748047,3.456439971923828,1.8772029876708984,8.50344467163086,12.577364921569824
var_sx_20km,30,12376.1572265625,11654.67236328125,12985.25439453125,0.6639057397842407,0.23982617259025574,2.4954795837402344,1.5270823240280151,7.417527675628662,9.440675735473633
var_sx_20km,31,12956.703125,12195.84814453125,13599.03955078125,0.7799882888793945,0.20740669965744019,2.503631353378296,1.4353023767471313,7.323952674865723,9.523481369018555
var_sx_20km,32,13551.837890625,12750.53076171875,14228.32373046875,0.8049669861793518,0.21697314083576202,2.297553777694702,1.3184527158737183,7.50294303894043,10.067375183105469
var_sx_20km,33,14161.900390625,13319.01318359375,14873.49072265625,0.904655933380127,0.1801733672618866,1.6355317831039429,0.9368277192115784,6.624107837677002,8.761177062988281
var_sx_20km,34,14787.2294921875,13901.57275390625,15534.92626953125,1.008811354637146,0.15578719973564148,1.4686028957366943,0.5965198874473572,5.10485315322876,6.477257251739502
var_sx_20km,35,15428.15625,14498.46728515625,16213.02685546875,1.1174266338348389,0.13748298585414886,1.399635672569275,0.4444209337234497,3.84549617767334,5.336695194244385
var_sx_20km,36,16085.00390625,15109.93408203125,16908.18701171875,1.214306116104126,0.13727085292339325,1.4216581583023071,0.2934611141681671,2.9282479286193848,4.583784580230713
var_sx_20km,37,16758.076171875,15736.16845703125,17620.80224609375,1.3100614547729492,0.1419525146484375,1.5064866542816162,0.17800003290176392,2.3733928203582764,4.127161026000977
var_sx_20km,38,17447.671875,16377.34033203125,18351.27880859375,1.417770504951477,0.1512269377708435,1.651528000831604,0.17435427010059357,2.0847136974334717,4.010655879974365
var_sx_20km,39,18154.056640625,17033.55908203125,19100.01318359375,1.5175056457519531,0.16119594871997833,1.5548967123031616,0.16376250982284546,3.120983362197876,5.349878787994385
var_sx_top12km,0,85.81689453125,83.83056640625,87.49395751953125,2.2189931869506836,1.1039254665374756,1.8158001899719238,0.5767174363136292,1.5694010257720947,3.15617299079895
var_sx_top12km,1,255.9488525390625,247.110595703125,263.41046142578125,2.8126487731933594,1.1019937992095947,2.8245415687561035,0.969777524471283,1.7762789726257324,4.260756492614746
var_sx_top12km,2,427.8004150390625,409.94482421875,442.87469482421875,2.4416422843933105,1.017758846282959,3.1330666542053223,1.2461665868759155,1.9880961179733276,4.4438676834106445
var_sx_top12km,3,602.16552734375,573.649658203125,626.2393798828125,2.4144749641418457,1.0232837200164795,3.3529016971588135,1.437442660331726,2.2262051105499268,4.686357021331787
var_sx_top12km,4,779.45654296875,738.86572265625,813.724609375,2.839533805847168,0.9652042984962463,3.91692852973938,1.5817686319351196,2.4795730113983154,4.918446063995361
var_sx_top12km,5,959.962646484375,906.010498046875,1005.510498046875,3.21183705329895,0.8674041628837585,4.3730010986328125,1.7438287734985352,2.7571165561676025,5.205822467803955
var_sx_top12km,6,1143.915283203125,1075.398681640625,1201.759033203125,3.5237841606140137,0.7483651638031006,4.772507667541504,1.9552191495895386,3.0816965103149414,5.6987385749816895
var_sx_top12km,7,1331.514892578125,1247.28759765625,1402.621826171875,3.7746686935424805,0.6581630706787109,5.0874152183532715,2.185441017150879,3.41983962059021,6.261846542358398
var_sx_top12km,8,1522.94482421875,1421.90234375,1608.24755859375,3.966798782348633,0.5996466875076294,5.315864562988281,2.4389286041259766,3.7313404083251953,6.7426276206970215
var_sx_top12km,9,1718.3798828125,1599.44873046875,1818.78466796875,4.121407985687256,0.5378594994544983,5.474848747253418,2.651966094970703,3.983633518218994,7.107852935791016
var_sx_top12km,10,1917.988037109375,1780.119140625,2034.380615234375,4.245755672454834,0.4800305962562561,5.545897483825684,2.8185434341430664,4.167535305023193,7.287407875061035
var_sx_top12km,11,2121.933837890625,1964.09716796875,2255.1845703125,4.3039984703063965,0.4492661654949188,5.477138519287109,2.900895357131958,4.274845600128174,7.339155197143555
var_sx_top12km,12,2330.38232421875,2151.56396484375,2481.345703125,4.406983852386475,0.4205653667449951,5.368026256561279,2.891209125518799,4.32056188583374,7.370632171630859
var_sx_top12km,13,2543.496826171875,2342.69580078125,2713.01904296875,4.384731292724609,0.3997192084789276,5.509151935577393,2.773952007293701,4.303862571716309,7.312277317047119
var_sx_top12km,14,2761.4443359375,2537.6708984375,2950.360595703125,4.421138763427734,0.3919849693775177,5.727200031280518,2.5503454208374023,4.193620204925537,7.155472278594971
var_sx_top12km,15,2984.39208984375,2736.66552734375,3193.529296875,4.448652744293213,0.3722520172595978,5.870669364929199,2.2804462909698486,4.04165506362915,6.7445759773254395
var_sx_top12km,16,3212.50927734375,2939.859375,3442.6884765625,4.212560176849365,0.3386518359184265,5.811931610107422,2.1052682399749756,3.9429237842559814,6.422177314758301
var_sx_top12km,17,3445.96826171875,3147.4306640625,3698.00244140625,3.888028621673584,0.30888786911964417,5.410781383514404,2.1091835498809814,3.9307332038879395,6.397145748138428
var_sx_top12km,18,3684.9453125,3359.5625,3959.64306640625,4.503237247467041,0.28880178928375244,5.731601715087891,2.2614803314208984,4.007430076599121,7.115901947021484
var_sx_top12km,19,3929.61962890625,3576.43994140625,4227.78369140625,5.11294412612915,0.28142690658569336,6.416013717651367,2.413076639175415,4.198497772216797,7.789689540863037
var_sx_top12km,20,4180.1708984375,3798.248046875,4502.60107421875,5.6588215827941895,0.2839065194129944,6.992337703704834,2.5037004947662354,4.510165214538574,8.612564086914062
var_sx_top12km,21,4436.7861328125,4025.1767578125,4784.2783203125,6.096332550048828,0.30096131563186646,7.4105753898620605,2.6261470317840576,4.881899833679199,9.751769065856934
var_sx_top12km,22,4699.65185546875,4257.41552734375,5073.0,6.343953609466553,0.2982293367385864,7.5326642990112305,2.6518092155456543,5.163656234741211,9.993858337402344
var_sx_top12km,23,4968.95947265625,4495.1572265625,5368.95654296875,6.2958879470825195,0.31017565727233887,7.266479969024658,2.5470833778381348,5.227125644683838,9.888754844665527
var_sx_top12km,24,5244.9013671875,4738.591796875,5672.34130859375,5.908083438873291,0.3261502981185913,6.6191086769104,2.3288280963897705,5.057514667510986,9.411405563354492
var_sx_top12km,25,5527.67138671875,4987.91259765625,5983.35107421875,5.193334579467773,0.3404225707054138,5.611303806304932,2.1172800064086914,4.798807144165039,8.777506828308105
var_sx_top12km,26,5817.46826171875,5243.31103515625,6302.1884765625,4.288263320922852,0.349605530500412,4.522583484649658,1.9099504947662354,4.591279983520508,8.642359733581543
var_sx_top12km,27,6114.4873046875,5504.9736328125,6629.05615234375,3.413455009460449,0.36033517122268677,3.583735227584839,1.729730486869812,4.474407196044922,8.271711349487305
var_sx_top12km,28,6418.927734375,5773.08642578125,6964.1650390625,2.6474108695983887,0.3896494507789612,2.8830573558807373,1.588853359222412,4.455628871917725,7.661710739135742
var_sx_top12km,29,6730.9853515625,6047.82958984375,7307.7265625,2.0168020725250244,0.41394636034965515,2.8253729343414307,1.4642354249954224,4.457983016967773,7.622405052185059
var_sx_top12km,30,7050.85546875,6329.37060546875,7659.953125,1.9479517936706543,0.4449823796749115,2.6732847690582275,1.3044447898864746,4.488917827606201,7.528721809387207
var_sx_top12km,31,7378.7275390625,6617.87255859375,8021.06396484375,2.0173614025115967,0.45912450551986694,2.4294779300689697,1.211582899093628,4.485754489898682,7.569242477416992
var_sx_top12km,32,7714.79296875,6913.48583984375,8391.27880859375,1.6799752712249756,0.45028412342071533,2.2580950260162354,1.1467808485031128,4.78887939453125,8.416009902954102
var_sx_top12km,33,8059.2275390625,7216.34033203125,8770.81787109375,0.9373770952224731,0.40292248129844666,2.004373073577881,1.08077871799469,5.710716724395752,8.930274963378906
var_sx_top12km,34,8412.205078125,7526.54736328125,9159.90185546875,0.5957437753677368,0.3477226495742798,1.7983049154281616,0.9987360835075378,6.673473358154297,9.709094047546387
var_sx_top12km,35,8773.884765625,7844.19580078125,9558.75439453125,0.6511290073394775,0.3473165035247803,1.6401928663253784,0.8635765910148621,7.184316635131836,9.989121437072754
var_sx_top12km,36,9144.4150390625,8169.34521484375,9967.59814453125,0.6012734770774841,0.3015379011631012,1.4124351739883423,0.7470597624778748,7.655916690826416,10.375936508178711
var_sx_top12km,37,9523.92578125,8502.01806640625,10386.65185546875,0.4171624183654785,0.22387908399105072,1.0176056623458862,0.5352782011032104,8.646909713745117,11.32141399383545
var_sx_top12km,38,9912.525390625,8842.19091796875,10816.13134765625,0.41293779015541077,0.15137100219726562,0.6259180903434753,0.3173150420188904,9.391939163208008,12.921881675720215
var_sx_top12km,39,10310.2939453125,9189.79541015625,11256.24951171875,0.43764570355415344,0.0841059461236,0.4514382779598236,0.052428048104047775,9.7071533203125,13.490059852600098
